False Friend,Wrong Translation,Correct Translation,en sentence1,en sentence2,se sentence1,se sentence2
lack,lack,lacquer,the project failed due to a lack of funding.,he showed a lack of interest in the topic.,han vill köpa lack till sin stol.,målaren kommer att använda lack idag.
last,last,"load, burden",that was the last slice of pizza.,the concert didn’t last as long as i hoped.,bilen har en tung last.,tåget kan ta mycket last.
leg,leg,"ID, identification papers (short for ""legitimation"")",she broke her leg while skiing.,the chair’s leg was wobbly and needed fixing.,kan du visa mig ditt leg?,har han något leg?
list,list,"cunning, artfulness, ruse",he wrote a grocery list before heading out.,please add your name to the attendance list.,en mycket skicklig list.,en välkänd list.
lump,lump,"discarded fabric, slang for mandatory military service",she found a strange lump on her neck.,he added a lump of sugar to his tea.,han säljer bara lump.,jag gjorde lumpen i kirune.
lust,lust,"wish, intent",his eyes were filled with greed and lust.,the novel explores themes of power and lust.,hon har lust att äta glass.,det är en lustt som är svår att tygla.
mode,mode,"fashion, haute couture",the phone was set to silent mode.,she shifted into study mode before the exam.,dagens mode kommer från paris.,mode är dyrt.
pregnant,pregnant,"short but informative; remarkable, prominent",she announced that she was pregnant at dinner.,the pause before his reply was pregnant with meaning.,hans tal var mycket pregnant.,hon uttrycker sig alltid mycket pregnant.
prick,prick,dot,he felt a sharp prick from the needle.,don’t be such a prick to your little brother.,en prick över bokstaven i.,hon är orolig över en prick på huden.
process,process,trial (at court)/(in Swedish and German mainly used to denote process but also means trial),the hiring process can take several weeks.,she needs time to process what happened.,en process i domstol blir dyrt.,varför måste han alltid söka process?
rest,rest,"remainder(cf. ""The rest is silence"")",you should get some rest after your trip.,he ate half the cake and saved the rest.,det där är en rest från middagen.,jag ser ingen rest.
roman,roman,novel,the roman empire left behind many ruins.,he wore a roman-style helmet for the costume party.,det här var en bra roman.,jag vill så gärna skriva en framgångsrik roman.
sex,sex,six,the doctor asked about the patient’s sex for the form.,they had a frank discussion about safe sex.,två plus fyra blir sex.,tolv delat med två är sex.
sexton,sexton,sixteen,the sexton unlocked the church for sunday service.,the old sexton took care of the cemetery grounds.,när hon var sexton köpte hon moped.,är man sexton år gammal får man snart köra bil.
sin,sin,"""one's own"", genitive reflexive pronoun",many religions believe pride is a serious sin.,he confessed his sin and asked for forgiveness.,han talar mycket om sin mamma.,vad vet hon om sin släkt?
slang,slang,hose,teenagers often use slang that adults don’t understand.,“cool” is a slang word that means something is good.,vi behöver en slang i trädgården.,brandkåren hade med sig en lång slang.
slut,slut,"end, finish","the bully called her a slut, which was cruel and unfair.","she rolled her eyes and replied, “if being confident makes me a slut, then so be it.”",snart är filmen slut.,det var ett lyckligt slut.
smoking,smoking,"dinner jacket (Br.), tuxedo (U.S.); but not smoking jacket",smoking is banned in most public places.,he quit smoking after ten years.,ikväll är det obligatoriskt med smoking.,jag har aldrig haft smoking på mig.
stark,stark,strong,the desert presented a stark contrast to the lush forest.,her words were a stark reminder of reality.,min syster är stark.,han är en stark man.
tag,tag,"German: day
Swedish: take!",let’s play a game of tag in the yard.,she forgot to remove the price tag from her dress.,tag av dig skorna!,tag med dig något att äta!
